ID,Titre,Profil,Date_Creation,Entreprise,Type_Contrat,Experience,Qualification,Salaire_Min,Salaire_Max,Salaire_Moyen,Ville,Code_Dept,Region,Secteur,Description
1092817,Business manager programme sap s/4hana f/h,Business Intelligence,2026-04-03,,CDI,Non précisé,,,,,Plessis-Robinson,92,Île-de-France,Non précisé,"<div>MBDA est le seul groupe européen capable de concevoir et de produire des missiles et systèmes de missiles pour répondre à toute la gamme des besoins opérationnels présents et futurs des trois armées (terre, marine et air).
Partenaire européen et acteur mondial, MBDA se positionne au coeur de la souveraineté de nos nations européennes et de leurs alliés en leur fournissant des capacités militaires décisives à des fins de sécurité nationale et d'autonomie stratégique. Les produits du Groupe s"
1078589,Business Process Owner (F/H) - MASSY (H/F),Business Intelligence,2026-04-03,,CDI,Débutant,,,,,Massy,91,Île-de-France,Non précisé,"Le saviez-vous ? 
 
Créateur de l'hypermarché, Carrefour reste fidèle à ses racines tout en se réinventant pour permettre à chacun de mieux manger : plus sain, plus local, plus responsable. Leader mondial de la distribution, nous sommes engagés pour la diversité, la RSE et la transformation digitale, tout en créant un environnement de travail inclusif et stimulant.
 
Nos atouts pour y parvenir ? 
Un réseau multi format, multi métiers avec des collaborateurs passionnés, qui s'engagent, pour réuss"
1074230,Alternance - Développeur Business Intelligence F/H - M-Extend France,Business Intelligence,2026-04-02,M-Extend France,CDD,Débutant,,,,,Acigné,35,Bretagne,Fabrication de matériel de levage et de manutention,"Intégré(e) au service Analyses de la Direction Commerciale et accompagné(e) par Aurélie, votre tutrice, vous serez le pont entre les besoins métiers et l'expertise technique. En collaboration étroite avec le pôle Data de la DSI, vous participerez activement à la conception et à l’optimisation de nos outils décisionnels sous Qlik Sense.
 
 
 
Vos responsabilités au quotidien
 
Votre alternance sera rythmée par deux axes majeurs pour faire évoluer notre écosystème BI :
 
- Optimisation et Évolutio"
1039625,Manager Business Transformation H/F (Paris),Business Intelligence,2026-04-02,EY,CDI,3-5 ans,,,,,Paris,75,Île-de-France,Non précisé,"Au sein de Business Consulting les consultants d'EY Business Transformation appuient les comités de direction de grands comptes intervenant dans de nombreux secteurs d'activité pour accélérer la mutation de leur métier et optimiser leur performance à l'ère du digital. 
 
Dans le cadre de notre forte croissance, nous recherchons des Managers H/F capables de mener à bien des projets de stratégie et transformation digitale. 
 
Votre rôle :
 
Vous serez responsabilisé(e) sur des missions de cadrage "
1035447,Business analyst technique F/H - Marketing (H/F),Business Intelligence,2026-04-02,Hays France,CDI,1-2 ans,Cadre,,,,Lyon,69,Auvergne-Rhône-Alpes,Activités des agences de placement de main-d'œuvre,"Descriptif du poste:

Missions principales
1. Pilotage et évolution des applications

* Recueillir, analyser et challenger les besoins métiers dans un contexte multi-pays.
* Rédiger les spécifications fonctionnelles et techniques.
* Gérer les projets d'évolution des applications (Finance, RH, Achats) : cadrage, planification, suivi, reporting.
* Assurer le rôle de référent fonctionnel sur votre périmètre.2. Coordination AMOA / AMOE

* Piloter les prestataires et éditeurs : suivi des charges, qua"
1012473,AMOA / Business Analyst (H/F),Business Intelligence,2026-04-01,SOLUTEC,CDI,Débutant,,28000.0,45000.0,36500.0,Lyon,69,Auvergne-Rhône-Alpes,Conseil en systèmes et logiciels informatiques,"Au sein d'une équipe projet, vous ferrez le lien entre les équipes métier et les équipes techniques, en traduisant les besoins des utilisateurs en solutions fonctionnelles précises. Plus précisément, vous interviendrez sur les missions suivantes :

 * Étudier et analyser le besoin du client
 * Analyser et collecter la donnée (suivi de KPI)
 * Contribuer à la définition fonctionnelle et la priorisation des besoins
 * Planifier, préparer et participer aux phases de tests fonctionnels
 * Assurer un"
1011804,BUSINESS ANALYST F/H - Marketing (H/F),Business Intelligence,2026-04-01,Relyens,CDI,3-5 ans,Cadre,,,,Lyon,69,Auvergne-Rhône-Alpes,Autres assurances,"Descriptif du poste:


Relyens recrute un BUSINESS ANALYST H/F dans le cadre d'un CDI, basé à Lyon.

Contexte :

Notre Groupe accélère sa transformation stratégique pour renforcer sa position sur ses marchés historiques tout en se diversifiant. Au cœur de cette dynamique, la data devient un levier majeur pour mieux comprendre nos clients, créer de la valeur et concevoir des offres différenciantes.

Mission principale :

Vous transformez des données complexes (quantitatives, qualitatives, structu"
0991368,Business Developer Bordeaux (33) H/F,Business Intelligence,2026-04-01,,CDI,Débutant,,,,,Bordeaux,33,Nouvelle-Aquitaine,Non précisé,"Cabinet de conseil en financement public créé en , notre client est un des acteurs historiques du financement de l'innovation (Crédit Impôt Recherche, Crédit Impôt Innovation, aides Bpifrance.).
Notre client réalise la vente d'un service intellectuel chaque année auprès de plus de 800 start-ups, PME et ETI innovantes à travers toute la France dans le financement de leur activité de R&amp;D ou d'un projet de développement à l'export à travers la mise en place d'aides publiques.En tant que Busines"
0963467,Business Developer - Marketplace H/F,Business Intelligence,2026-03-31,,CDI,Débutant,,,,,Lesquin,59,Hauts-de-France,Non précisé,"Être Business Developer Marketplace, c'est devenir l'architecte de notre croissance et le partenaire stratégique de l'Offre.Votre impact est au croisement de la stratégie et de l'action : vous construisez l'avenir de nos catégories en identifiant et en recrutant les marchands partenaires de confiance qui feront la différence pour nos clients.Au sein d'une aventure Marketplace en montée en puissance dans une entreprise qui met l'humain ainsi que l'expérience client au coeur de sa stratégie, votre"
0962216,Alternance Business Developer Junior. - Montrouge (F/H) (H/F),Business Intelligence,2026-03-31,,CDD,Débutant,,,,,Montrouge,92,Île-de-France,Non précisé,"Vous aurez pour missions : Prospecter le marché IT (startups, PME, grands comptes) pour détecter de nouvelles opportunités commerciales,
Identifier, qualifier et analyser les besoins clients (enjeux techniques, métiers, délais),
Rédiger des propositions commerciales personnalisées en collaboration avec les équipes techniques,
Gérer le cycle de vente complet : prospection, qualification, présentation de l'offre, négociation, closing,
Préparer des dossiers techniques et assurer la qualité des offr"
0939115,Consultant Expérimenté - Reporting & Digital Finance Transformation (FAAS) - Rouen H/F,Business Intelligence,2026-03-31,EY,CDI,3-5 ans,,,,,Rouen,76,Normandie,Non précisé,"Intégré à une équipe de plus de 50 collaborateurs, vous mettez en œuvre de façon opérationnelle vos savoir-faire et compétences en matière de gestion de projet et de mise en œuvre de Solutions Digitales Finance.
 
Vous prendrez part à des projets et missions de différentes natures autour de projet de transformation :
-    Intégration de solutions de digitalisation au sein de la Direction Finance,
-    Automatisation, sécurisation et fiabilisation des données comptables et processus clés de produ"
0936500,Business Analyst (B.A.) Finance - Programme Odyssey F/H - Marketing (H/F),Business Intelligence,2026-03-31,VIRBAC,CDI,3-5 ans,Cadre,,,,Carros,06,PACA,Fabrication de préparations pharmaceutiques,"Descriptif du poste:

 

Le Programme Odyssey : Un pilier de notre transformation Odyssey est l'un des principaux programmes de transformation digitale de Virbac. Ce programme a pour ambition de déployer des processus robustes et harmonisés à travers le monde, en s'appuyant sur un Core Model technologique puissant : l'ERP Infor M3 et l'outil collaboratif achats ePIMS (Synertrade). Odyssey a pour vocation d'être implémenté dans les principales filiales du Groupe sur tous les continents.


Vos mis"
206GZXP,Ingénieur-e données (H/F),Business Intelligence,2026-03-31,RENNES METROPOLE,CDI,Débutant,Cadre,34800.0,39600.0,37200.0,Rennes,35,Bretagne,Administration publique générale,"Au sein de la direction Données, Transition Écologique et Ressources, le service Données Territoriales et Information Géographique soutient le développement des usages des données dans les politiques publiques. L'unité Accompagnement des Métiers met à disposition des services de la collectivité une équipe pluridisciplinaire pour les accompagner dans la prise en main, l'usage et la valorisation de leurs données.
Le  poste d'ingénieur-e données vise à accompagner les services de la collectivité da"
206GJTL,Data Engineer (H/F),Business Intelligence,2026-03-31,CIRIL GROUP,CDI,3-5 ans,Cadre,,,,Villeurbanne,69,Auvergne-Rhône-Alpes,Conseil en systèmes et logiciels informatiques,"Ciril GROUP met son esprit d'innovation et son savoir-faire d'éditeur au service des acteurs publics et privés partout dans le monde, grâce à un écosystème complet de solutions interopérables : ERP, SIG, décisionnel, GMAO...
Ciril GROUP Cloud complète cette offre logicielle par un hébergement Cloud souverain de haute qualité et haute sécurité certifié.
En rejoignant nos équipes transverses, vous évoluerez dans un environnement dynamique où chaque service contribue à relever les défis variés de n"
0897450,Business Analyst F/H - Marketing (H/F),Business Intelligence,2026-03-30,MICHAEL PAGE INTERNATIONAL FRANCE,CDI,3-5 ans,Cadre,,,,Bourges,18,Centre-Val de Loire,Activités des agences de placement de main-d'œuvre,"Descriptif du poste:

 

En tant que Business Analyst, en CDI, vous rejoindrez une équipe de 10 personnes. L'équipe fait partie d'un service dédié aux projets fonctionnels du système d'information et contribue à la qualité, la cohérence et l'évolution des solutions déployées auprès des métiers.Vos missions seront les suivantes :
 
* Analyser les besoins métiers 
* Animer les ateliers permettant de collecter, structurer et prioriser les besoins
* Participer au cadrage fonctionnel des évolutions e"
